image_path,label
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1216.jpg,Granite
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2926.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3084.jpg,Basalt
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_23.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_2652.jpg,Granite
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_126.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_2306.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3448.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_1219.jpg,Marble
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_1484.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3465.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1785.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_462.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2239.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_105.jpg,Granite
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2692.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_685.jpg,Marble
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_480.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2663.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_1561.jpg,Marble
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1458.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_2601.jpg,Marble
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3578.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_561.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3088.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3281.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1861.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3411.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3055.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1232.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_2243.jpg,Marble
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_2476.jpg,Granite
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_3171.jpg,Marble
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_66.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_2543.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3073.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3102.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_2744.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3657.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1416.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3485.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_2558.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3979.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3980.jpg,Granite
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1254.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_2462.jpg,Granite
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1598.jpg,Granite
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2438.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_645.jpg,Granite
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3932.jpg,Basalt
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_2372.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_500.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_424.jpg,Basalt
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_2996.jpg,Marble
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_3085.jpg,Marble
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1281.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2779.jpg,Basalt
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1886.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3468.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_2320.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1528.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3496.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2684.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1828.jpg,Granite
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2949.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_2150.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_1876.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1524.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1851.jpg,Basalt
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_1363.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_84.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_170.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3000.jpg,Granite
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3889.jpg,Basalt
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_662.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3890.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3703.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3193.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_2187.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1554.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_1801.jpg,Marble
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_1925.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_1974.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1623.jpg,Basalt
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_1965.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2351.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3941.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3596.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_904.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_1466.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2154.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3936.jpg,Granite
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3667.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1827.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_2087.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_169.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1664.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3296.jpg,Granite
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_102.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1713.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3733.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2406.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_941.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_290.jpg,Marble
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3163.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1032.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3035.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2212.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2158.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2092.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1607.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2581.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_140.jpg,Marble
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3227.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_2319.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1195.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_880.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2396.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_97.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2065.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_348.jpg,Basalt
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2852.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_594.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_3847.jpg,Marble
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_837.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1411.jpg,Granite
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_344.jpg,Granite
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_147.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_2049.jpg,Marble
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3438.jpg,Granite
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1355.jpg,Granite
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3899.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_3557.jpg,Marble
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_806.jpg,Basalt
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3420.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1899.jpg,Basalt
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_1806.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_525.jpg,Granite
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1688.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1893.jpg,Granite
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_344.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1580.jpg,Granite
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2467.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_2051.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3331.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3756.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2684.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1210.jpg,Granite
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3750.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_1417.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3752.jpg,Basalt
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_1274.jpg,Marble
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_772.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_463.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3569.jpg,Basalt
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2643.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_3838.jpg,Marble
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3022.jpg,Granite
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_984.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_427.jpg,Granite
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3868.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_608.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_153.jpg,Basalt
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1192.jpg,Granite
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1670.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1843.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_2123.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1826.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_1068.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_886.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2227.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_32.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2374.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_582.jpg,Basalt
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2541.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3422.jpg,Basalt
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_208.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_409.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_961.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_2739.jpg,Granite
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1906.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1792.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_643.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_279.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_685.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_2623.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3974.jpg,Granite
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_336.jpg,Marble
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2457.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_925.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3196.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2687.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1952.jpg,Basalt
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2559.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3051.jpg,Basalt
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_757.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3285.jpg,Basalt
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_780.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2900.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_919.jpg,Basalt
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_1958.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1716.jpg,Granite
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_2980.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_1342.jpg,Marble
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_2422.jpg,Granite
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2099.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_53.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1311.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3195.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_763.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_602.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3678.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_1379.jpg,Marble
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_1849.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_263.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_201.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_57.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3609.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1735.jpg,Basalt
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3268.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3231.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1699.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3425.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_2554.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1209.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2850.jpg,Basalt
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1910.jpg,Granite
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1686.jpg,Basalt
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_32.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_2777.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_2382.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_1232.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3665.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1661.jpg,Basalt
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3415.jpg,Granite
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3059.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3295.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3450.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3521.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3414.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3607.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3377.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3188.jpg,Basalt
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3542.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_1211.jpg,Marble
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3167.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3434.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3194.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1599.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_1341.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_492.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_3969.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1022.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1249.jpg,Basalt
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3008.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3386.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2081.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3362.jpg,Granite
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_1885.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2691.jpg,Basalt
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3324.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_2443.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_2493.jpg,Granite
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3656.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3651.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_792.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_2603.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_202.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3552.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3266.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_1190.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_3683.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_3246.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_1646.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\7.Marble\7.Marble_1490.jpg,Marble
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_3807.jpg,Granite
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_1999.jpg,Granite
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_355.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\4.Mudstone\4.Mudstone_214.jpg,Mudstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_271.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\1.Red sandstone\1.Red sandstone_1343.jpg,Red sandstone
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_166.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\5.Granite\5.Granite_2878.jpg,Granite
data\raw\DCID\DCID-512-7\train\2.Light sandstone\2.Light sandstone_1585.jpg,Light sandstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2180.jpg,Basalt
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_3332.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_1104.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_3333.jpg,Basalt
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_2550.jpg,Basalt
data\raw\DCID\DCID-512-7\train\3.Gray siltstone\3.Gray siltstone_755.jpg,Gray siltstone
data\raw\DCID\DCID-512-7\train\6.Basalt\6.Basalt_1888.jpg,Basalt
